Datum;MengeKum;Einheit;Preis;Produkt;Umsatz;Bestand_Einheit;Bestand_Preis
22/11/2015;-0.650;Kilo;3.40;Braunhirse;-2.21;23.148;78.70
22/11/2015;-1.388;Kilo;2.00;Dinkel;-2.78;42.800;85.60
22/11/2015;-0.844;Kilo;2.50;Sonnenblumenkerne;-2.11;22.354;55.89
22/11/2015;-1.432;Kilo;2.93;brauner Basmati;-4.20;21.408;62.73
22/11/2015;-1.230;Kilo;3.36;weißer Basmati;-4.13;22.456;75.45
23/11/2015;-1.648;Kilo;2.00;Dinkel;-3.30;41.152;82.30
23/11/2015;-0.804;Kilo;1.20;Roggen;-0.96;47.128;56.55
23/11/2015;-1.038;Kilo;2.45;Rohrohrzucker;-2.54;21.735;53.25
23/11/2015;-2.080;Kilo;1.26;Weizen;-2.62;47.510;59.86
23/11/2015;-0.838;Kilo;2.93;brauner Basmati;-2.46;20.570;60.27
23/11/2015;-0.692;Kilo;2.29;Couscous;-1.58;21.584;49.43
23/11/2015;-0.340;Kilo;2.10;Hafer;-0.71;48.104;101.02
23/11/2015;-0.704;Kilo;2.29;Kichererbsen;-1.61;22.054;50.50
23/11/2015;-2.282;Kilo;2.29;Penne semoltano;-5.23;11.244;25.75
23/11/2015;-0.562;Kilo;3.04;Rote Linsen;-1.71;23.746;72.19
23/11/2015;-0.656;Kilo;4.00;Sesam;-2.62;23.686;94.74
23/11/2015;-0.584;Kilo;2.50;Sonnenblumenkerne;-1.46;21.770;54.43
23/11/2015;-0.910;Kilo;2.29;Spaghetti semoltano;-2.08;13.206;30.24
23/11/2015;-0.972;Kilo;1.54;Haferflocken;-1.50;22.466;34.60
23/11/2015;-3.000;Liter;3.25;Sonnenblumenöl, EU ;-9.75;16.000;52.00
23/11/2015;-0.540;Kilo;4.50;Tellerlinsen;-2.43;23.096;103.93
23/11/2015;-0.674;Kilo;3.95;Weinbeeren;-2.66;8.782;34.69
23/11/2015;-0.838;Kilo;3.40;Braunhirse;-2.85;22.310;75.85
